variant,method,scoring_mode,status,samples,schema_valid,scored,failures,correct,total,accuracy,coverage,failure_rate,notes
V0_full_chart,B1,strict_group1_freeze,complete,200,200,200,0,1104,4052,0.2724580454096742,1.0,0.0,复用实验组1冻结整图 baseline；未重跑。
V0_full_chart,B1,chart_display_aware_v2,complete,200,200,200,0,1110,4052,0.27393879565646595,1.0,0.0,复用实验组1 PR25 v2 rescore 结果。
V0_full_chart,C4,strict_group1_freeze,complete,200,200,200,0,1624,4052,0.40078973346495556,1.0,0.0,复用实验组1冻结整图 baseline；未重跑。
V0_full_chart,C4,chart_display_aware_v2,complete,200,200,200,0,1638,4052,0.40424481737413626,1.0,0.0,复用实验组1 PR25 v2 rescore 结果。
V0_full_chart,D_SFT,strict_group1_freeze,complete_with_method_failures,200,184,184,16,2739,3724,0.735499462943072,0.92,0.08,复用实验组1冻结整图 baseline；未重跑。
V0_full_chart,D_SFT,chart_display_aware_v2,complete,200,184,184,16,2910,3724,0.7814178302900108,0.92,0.08,复用实验组1 PR25 v2 rescore 结果。
V0_full_chart,D1,strict_group1_freeze,complete,200,200,200,0,2972,4052,0.7334649555774926,1.0,0.0,复用 PR25 D1 fixed-output-interface full-chart baseline。
V0_full_chart,D1,chart_display_aware_v2,complete,200,200,200,0,3158,4052,0.7793682132280355,1.0,0.0,复用 PR25 D1 v2 rescore full-chart baseline。
V1_ma_text_only,B1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V1_ma_text_only\B1\method_summary.json
V1_ma_text_only,C4,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V1_ma_text_only\C4\method_summary.json
V1_ma_text_only,D_SFT,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V1_ma_text_only\D_SFT\method_summary.json
V1_ma_text_only,D1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V1_ma_text_only\D1\method_summary.json
V2_full_minus_ma_prose,B1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V2_full_minus_ma_prose\B1\method_summary.json
V2_full_minus_ma_prose,C4,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V2_full_minus_ma_prose\C4\method_summary.json
V2_full_minus_ma_prose,D_SFT,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V2_full_minus_ma_prose\D_SFT\method_summary.json
V2_full_minus_ma_prose,D1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V2_full_minus_ma_prose\D1\method_summary.json
V3_plan_view_only,B1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\B1\method_summary.json
V3_plan_view_only,C4,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\C4\method_summary.json
V3_plan_view_only,D_SFT,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D_SFT\method_summary.json
V3_plan_view_only,D1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V3_plan_view_only\D1\method_summary.json
V4_icon_detail_only,B1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\B1\method_summary.json
V4_icon_detail_only,C4,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\C4\method_summary.json
V4_icon_detail_only,D_SFT,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\method_summary.json
V4_icon_detail_only,D1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D1\method_summary.json
V5_plan_detail_no_ma,B1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\B1\method_summary.json
V5_plan_detail_no_ma,C4,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\C4\method_summary.json
V5_plan_detail_no_ma,D_SFT,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D_SFT\method_summary.json
V5_plan_detail_no_ma,D1,strict_group1_freeze,missing,200,,,,,,,,,缺少 method_summary：.\formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V5_plan_detail_no_ma\D1\method_summary.json
V1_ma_text_only,B1,chart_display_aware_v2,complete,200,200,200,0,1166,4052,0.28775913129318853,1.0,0.0,
V1_ma_text_only,C4,chart_display_aware_v2,complete,200,200,200,0,1948,4052,0.4807502467917078,1.0,0.0,
V1_ma_text_only,D_SFT,chart_display_aware_v2,complete,200,4,4,196,53,76,0.6973684210526315,0.02,0.98,
V1_ma_text_only,D1,chart_display_aware_v2,complete,200,200,200,0,79,4052,0.01949654491609082,1.0,0.0,
V2_full_minus_ma_prose,B1,chart_display_aware_v2,complete,200,200,200,0,790,4052,0.1949654491609082,1.0,0.0,
V2_full_minus_ma_prose,C4,chart_display_aware_v2,complete,200,200,200,0,1574,4052,0.3884501480750247,1.0,0.0,
V2_full_minus_ma_prose,D_SFT,chart_display_aware_v2,complete,200,180,180,20,2676,3642,0.7347611202635914,0.9,0.1,
V2_full_minus_ma_prose,D1,chart_display_aware_v2,complete,200,200,200,0,2908,4052,0.717670286278381,1.0,0.0,
V3_plan_view_only,B1,chart_display_aware_v2,complete,200,200,200,0,134,4052,0.033070088845014806,1.0,0.0,
V3_plan_view_only,C4,chart_display_aware_v2,complete,200,200,200,0,1341,4052,0.3309476801579467,1.0,0.0,
V3_plan_view_only,D_SFT,chart_display_aware_v2,complete,200,144,144,56,1742,2904,0.599862258953168,0.72,0.28,
V3_plan_view_only,D1,chart_display_aware_v2,complete,200,200,200,0,2289,4052,0.5649062191510366,1.0,0.0,
