variant,method,chart_id,prediction_path,prediction_exists,schema_valid,scored,correct,total,accuracy,failure_stage,failure_error
V4_icon_detail_only,D_SFT,KABE_I06,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KABE_I06.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KALS_I02,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KALS_I02.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KAMA_I04,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KAMA_I04.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KAPC_I01L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KAPC_I01L.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KATL_I09R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KATL_I09R.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KAUS_I18L,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KAUS_I18L.json,True,False,False,,,,schema_validation,chart_id: 'KHOOK_K088' does not match '^[A-Z]{4}_[A-Z0-9\\-]+$'; procedure.airport: 'KHOOK' does not match '^[A-Z]{4}$'
V4_icon_detail_only,D_SFT,KBUY_I06-Z,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBUY_I06-Z.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KBWG_I03-Y,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBWG_I03-Y.json,True,False,False,,,,schema_validation,"$: 'missed_approach' is a required property; chart_id: 'KBW_I24' does not match '^[A-Z]{4}_[A-Z0-9\\-]+$'; procedure: 'airport' is a required property; procedure: 'approach_ident' is a required property; procedure: Additional properties are not allowed ('leg_count', 'legs' were unexpected)"
V4_icon_detail_only,D_SFT,KCMH_I10R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KCMH_I10R.json,True,False,False,,,,schema_validation,chart_id: 'KBU_I14' does not match '^[A-Z]{4}_[A-Z0-9\\-]+$'; procedure.airport: 'KBU' does not match '^[A-Z]{4}$'
V4_icon_detail_only,D_SFT,KAXH_L09,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KAXH_L09.json,True,True,True,10,13,0.7692307692307693,,
V4_icon_detail_only,D_SFT,KBDL_L33,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBDL_L33.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KBFF_L12,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBFF_L12.json,True,True,True,16,19,0.8421052631578947,,
V4_icon_detail_only,D_SFT,KBOS_L15R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBOS_L15R.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KBUR_L08-Z,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBUR_L08-Z.json,True,True,True,10,25,0.4,,
V4_icon_detail_only,D_SFT,KCEC_L12,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KCEC_L12.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KCRW_L05,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KCRW_L05.json,True,True,True,16,19,0.8421052631578947,,
V4_icon_detail_only,D_SFT,KALN_L29,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KALN_L29.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KALO_L12,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KALO_L12.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KAWM_L17,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KAWM_L17.json,True,False,False,,,,schema_validation,chart_id: 'KQE_GQE_R147' does not match '^[A-Z]{4}_[A-Z0-9\\-]+$'; procedure.airport: 'KQE' does not match '^[A-Z]{4}$'
V4_icon_detail_only,D_SFT,KBRD_L34,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBRD_L34.json,False,False,False,,,,missing_prediction,prediction json does not exist
V4_icon_detail_only,D_SFT,KBTL_L23R,formal_runs/experiment4/experiment4_source_ablation_formal200_20260503_r1\runs\formal_eval200\V4_icon_detail_only\D_SFT\predictions\V4_icon_detail_only_D_SFT\canonical_json\KBTL_L23R.json,True,True,True,14,19,0.7368421052631579,,
