method,status,total,valid,invalid_rate,binary_accuracy,positive_accept_rate,negative_reject_rate,false_positive_rate,false_negative_rate,error_field_exact_norm_rate,error_field_overlap_norm_rate,score_path
V1,ok,400,400,0.0,0.5125,0.705,0.32,0.295,0.68,0.115,0.18,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\V1\score_summary.json
V2_r1_original,ok,400,400,0.0,0.525,0.175,0.875,0.825,0.125,0.16,0.18,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V2_direct_image_e6_core_20260501_r1\score_summary.json
V2_r2_policyv3_final,ok,400,400,0.0,0.5225,0.375,0.67,0.625,0.33,0.165,0.205,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V2_direct_image_e6_core_policyv3_20260501_r2\score_summary.normalized_error_fields.json
V3_C4,ok,400,400,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.415,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\V3_C4\score_summary.json
V3_D_SFT,ok,400,370,0.075,0.5,0.07608695652173914,1.0,0.9239130434782609,0.0,0.0967741935483871,0.8118279569892473,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\V3_D_SFT\score_summary.json
V4_C4_tolerant_final,ok,400,400,0.0,0.505,0.615,0.395,0.385,0.605,0.0,0.2,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V4_C4_tolerant\score_summary.normalized_error_fields.json
V4_D_SFT_tolerant_final,ok,400,370,0.075,0.52,0.5760869565217391,0.5483870967741935,0.42391304347826086,0.45161290322580644,0.005376344086021506,0.4838709677419355,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V4_D_SFT_tolerant\score_summary.normalized_error_fields.json
V4_PR25_C4_narrowed,ok,400,400,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.415,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V4_PR25_C4_narrowed\score_summary.normalized_error_fields.json
V4_PR25_D_SFT_narrowed,ok,400,370,0.075,0.4825,0.03804347826086957,1.0,0.9619565217391305,0.0,0.04838709677419355,0.8118279569892473,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\V4_PR25_D_SFT_narrowed\score_summary.normalized_error_fields.json
control_oracle,ok,400,400,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\control_oracle\score_summary.json
control_all_accept,ok,400,400,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\control_all_accept\score_summary.json
control_all_reject,ok,400,400,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\control_all_reject\score_summary.json
control_v0_candidate_integrity,ok,400,400,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,formal_runs\experiment6\experiment6_group1formal200_full200_v8_20260501_r1\E6_core_rescored_after_group1_v2\control_v0_candidate_integrity\score_summary.json
