group_name,group_value,method,total,valid,invalid_or_missing,binary_accuracy,balanced_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_exact_norm,error_field_overlap_norm,invalid_rate
counterfactual_type,424_derived_trap,control_all_accept,19,19,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,altitude_perturbation,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,ca_omission,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,ca_to_df_sequence_error,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,course_radial_error,control_all_accept,19,19,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,fix_substitution,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,holding_parameter_error,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,implicit_hold_time_omission,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,path_terminator_substitution,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,positive,control_all_accept,200,200,0,1.0,,1.0,0.0,,,,,0.0
counterfactual_type,text_only_trap,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,turn_direction_flip,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
counterfactual_type,424_derived_trap,control_all_reject,19,19,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,altitude_perturbation,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,ca_omission,control_all_reject,18,18,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
counterfactual_type,ca_to_df_sequence_error,control_all_reject,18,18,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
counterfactual_type,course_radial_error,control_all_reject,19,19,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,fix_substitution,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,holding_parameter_error,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,implicit_hold_time_omission,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,path_terminator_substitution,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,positive,control_all_reject,200,200,0,0.0,,0.0,1.0,,,,,0.0
counterfactual_type,text_only_trap,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,turn_direction_flip,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
counterfactual_type,424_derived_trap,control_oracle_label,19,19,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
