group_name,group_value,method,total,valid,invalid_or_missing,binary_accuracy,balanced_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_exact_norm,error_field_overlap_norm,invalid_rate
field_category,altitude_constraint,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,course_or_radial,control_all_accept,19,19,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,fix_ident,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,hold_params,control_all_accept,54,54,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,path_terminator,control_all_accept,37,37,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,positive,control_all_accept,200,200,0,1.0,,1.0,0.0,,,,,0.0
field_category,sequence,control_all_accept,36,36,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,turn,control_all_accept,18,18,0,0.0,,,,0.0,1.0,0.0,0.0,0.0
field_category,altitude_constraint,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,course_or_radial,control_all_reject,19,19,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,fix_ident,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,hold_params,control_all_reject,54,54,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,path_terminator,control_all_reject,37,37,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,positive,control_all_reject,200,200,0,0.0,,0.0,1.0,,,,,0.0
field_category,sequence,control_all_reject,36,36,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,turn,control_all_reject,18,18,0,1.0,,,,1.0,0.0,0.0,0.0,0.0
field_category,altitude_constraint,control_oracle_label,18,18,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,course_or_radial,control_oracle_label,19,19,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,fix_ident,control_oracle_label,18,18,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,hold_params,control_oracle_label,54,54,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,path_terminator,control_oracle_label,37,37,0,1.0,,,,1.0,0.0,1.0,1.0,0.0
field_category,positive,control_oracle_label,200,200,0,1.0,,1.0,0.0,,,,,0.0
