group_name,group_value,method,total,valid,invalid_or_missing,binary_accuracy,balanced_accuracy,positive_accept,false_alarm,negative_reject,miss_rate,error_field_exact_norm,error_field_overlap_norm,invalid_rate
sample_type,holding,control_all_accept,287,287,0,0.4912891986062718,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,multi_leg,control_all_accept,78,78,0,0.5256410256410257,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,simple,control_all_accept,35,35,0,0.5142857142857142,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,holding,control_all_reject,287,287,0,0.5087108013937283,0.5,0.0,1.0,1.0,0.0,0.1917808219178082,0.1917808219178082,0.0
sample_type,multi_leg,control_all_reject,78,78,0,0.47435897435897434,0.5,0.0,1.0,1.0,0.0,0.13513513513513514,0.13513513513513514,0.0
sample_type,simple,control_all_reject,35,35,0,0.4857142857142857,0.5,0.0,1.0,1.0,0.0,0.17647058823529413,0.17647058823529413,0.0
sample_type,holding,control_oracle_label,287,287,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
sample_type,multi_leg,control_oracle_label,78,78,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
sample_type,simple,control_oracle_label,35,35,0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
sample_type,holding,control_v0_candidate_integrity,287,287,0,0.4912891986062718,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,multi_leg,control_v0_candidate_integrity,78,78,0,0.5256410256410257,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,simple,control_v0_candidate_integrity,35,35,0,0.5142857142857142,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0
sample_type,holding,V1_OCR_text_chartdisplay_v2,287,287,0,0.4878048780487805,0.4923248809870786,0.75177304964539,0.24822695035460993,0.2328767123287671,0.7671232876712328,0.1095890410958904,0.1506849315068493,0.0
sample_type,multi_leg,V1_OCR_text_chartdisplay_v2,78,78,0,0.46153846153846156,0.46407382992748847,0.4146341463414634,0.5853658536585366,0.5135135135135135,0.4864864864864865,0.02702702702702703,0.24324324324324326,0.0
sample_type,simple,V1_OCR_text_chartdisplay_v2,35,35,0,0.5714285714285714,0.5620915032679739,0.8888888888888888,0.1111111111111111,0.23529411764705882,0.7647058823529411,0.058823529411764705,0.11764705882352941,0.0
sample_type,holding,V2_direct_image_policyv3_chartdisplay_v2,287,287,0,0.6027874564459931,0.601573885164675,0.5319148936170213,0.46808510638297873,0.6712328767123288,0.3287671232876712,0.1917808219178082,0.1917808219178082,0.0
sample_type,multi_leg,V2_direct_image_policyv3_chartdisplay_v2,78,78,0,0.47435897435897434,0.496044825313118,0.07317073170731707,0.926829268292683,0.918918918918919,0.08108108108108109,0.32432432432432434,0.40540540540540543,0.0
sample_type,simple,V2_direct_image_policyv3_chartdisplay_v2,35,35,0,0.4857142857142857,0.49509803921568624,0.16666666666666666,0.8333333333333334,0.8235294117647058,0.17647058823529413,0.4117647058823529,0.4117647058823529,0.0
sample_type,holding,V3_C4_group1v2_neutralized,287,287,0,0.5087108013937283,0.5,0.0,1.0,1.0,0.0,0.0,0.4589041095890411,0.0
sample_type,multi_leg,V3_C4_group1v2_neutralized,78,78,0,0.47435897435897434,0.5,0.0,1.0,1.0,0.0,0.0,0.24324324324324326,0.0
sample_type,simple,V3_C4_group1v2_neutralized,35,35,0,0.4857142857142857,0.5,0.0,1.0,1.0,0.0,0.0,0.4117647058823529,0.0
sample_type,holding,V3_D_SFT_group1v2_neutralized,287,267,20,0.5017421602787456,0.5269230769230769,0.05384615384615385,0.9461538461538461,1.0,0.0,0.058394160583941604,0.9343065693430657,0.06968641114982578
sample_type,multi_leg,V3_D_SFT_group1v2_neutralized,78,71,7,0.4358974358974359,0.5,0.0,1.0,1.0,0.0,0.0,0.38235294117647056,0.08974358974358974
sample_type,simple,V3_D_SFT_group1v2_neutralized,35,32,3,0.42857142857142855,0.5,0.0,1.0,1.0,0.0,0.06666666666666667,0.6666666666666666,0.08571428571428572
sample_type,holding,V4_C4_tolerant_chartdisplay_v2,287,287,0,0.5087108013937283,0.5131157097056251,0.7659574468085106,0.23404255319148937,0.2602739726027397,0.7397260273972602,0.0,0.1917808219178082,0.0
sample_type,multi_leg,V4_C4_tolerant_chartdisplay_v2,78,78,0,0.47435897435897434,0.494726433750824,0.0975609756097561,0.9024390243902439,0.8918918918918919,0.10810810810810811,0.0,0.24324324324324326,0.0
sample_type,simple,V4_C4_tolerant_chartdisplay_v2,35,35,0,0.5428571428571428,0.5408496732026145,0.6111111111111112,0.3888888888888889,0.47058823529411764,0.5294117647058824,0.0,0.17647058823529413,0.0
sample_type,holding,V4_D_SFT_tolerant_chartdisplay_v2,287,267,20,0.5505226480836237,0.5959011791128579,0.7538461538461538,0.24615384615384617,0.43795620437956206,0.5620437956204379,0.0072992700729927005,0.40145985401459855,0.06968641114982578
sample_type,multi_leg,V4_D_SFT_tolerant_chartdisplay_v2,78,71,7,0.4358974358974359,0.5,0.0,1.0,1.0,0.0,0.0,0.7941176470588235,0.08974358974358974
sample_type,simple,V4_D_SFT_tolerant_chartdisplay_v2,35,32,3,0.45714285714285713,0.5019607843137255,0.47058823529411764,0.5294117647058824,0.5333333333333333,0.4666666666666667,0.0,0.5333333333333333,0.08571428571428572
