method,negative_error_type,count,group_total,share
A1,missing_prediction_status,360,1518,0.23715415019762845
A1,over_assertion,315,1518,0.2075098814229249
A1,true_negative,776,1518,0.5111989459815547
A1,unknown_on_negative,67,1518,0.04413702239789196
A2,missing_prediction_status,556,1518,0.3662714097496706
A2,over_assertion,262,1518,0.1725955204216074
A2,true_negative,636,1518,0.4189723320158103
A2,unknown_on_negative,64,1518,0.04216073781291173
B1,missing_prediction_status,372,1518,0.2450592885375494
B1,other_negative_error,76,1518,0.05006587615283267
B1,over_assertion,335,1518,0.2206851119894598
B1,true_negative,674,1518,0.4440052700922266
B1,unknown_on_negative,61,1518,0.04018445322793149
B1_prime,missing_prediction_status,368,1518,0.24242424242424243
B1_prime,other_negative_error,4,1518,0.002635046113306983
B1_prime,over_assertion,224,1518,0.14756258234519104
B1_prime,true_negative,699,1518,0.46047430830039526
B1_prime,unknown_on_negative,223,1518,0.1469038208168643
B1_prime_link,missing_prediction_status,474,1518,0.31225296442687744
B1_prime_link,other_negative_error,163,1518,0.10737812911725955
B1_prime_link,over_assertion,138,1518,0.09090909090909091
B1_prime_link,true_negative,411,1518,0.2707509881422925
B1_prime_link,unknown_on_negative,332,1518,0.21870882740447958
C1,missing_prediction_status,55,1518,0.036231884057971016
C1,other_negative_error,123,1518,0.08102766798418973
C1,over_assertion,389,1518,0.25625823451910407
C1,true_negative,945,1518,0.6225296442687747
C1,unknown_on_negative,6,1518,0.003952569169960474
C2,missing_prediction_status,56,1518,0.03689064558629776
C2,over_assertion,1393,1518,0.9176548089591567
C2,true_negative,62,1518,0.04084321475625823
C2,unknown_on_negative,7,1518,0.00461133069828722
C3,missing_prediction_status,116,1518,0.0764163372859025
C3,other_negative_error,143,1518,0.09420289855072464
C3,over_assertion,366,1518,0.24110671936758893
C3,true_negative,893,1518,0.5882740447957839
C4,missing_prediction_status,266,1518,0.17523056653491437
C4,other_negative_error,6,1518,0.003952569169960474
C4,over_assertion,298,1518,0.1963109354413702
C4,true_negative,947,1518,0.6238471673254282
C4,unknown_on_negative,1,1518,0.0006587615283267457
D1,missing_prediction_status,209,1518,0.13768115942028986
D1,over_assertion,106,1518,0.06982872200263504
D1,true_negative,1203,1518,0.7924901185770751
