method,negative_error_type,correct,total,accuracy
A1,missing_prediction_status,0,360,0.0
A1,over_assertion,0,315,0.0
A1,true_negative,776,776,1.0
A1,unknown_on_negative,0,67,0.0
A2,missing_prediction_status,0,556,0.0
A2,over_assertion,0,262,0.0
A2,true_negative,636,636,1.0
A2,unknown_on_negative,0,64,0.0
B1,missing_prediction_status,0,372,0.0
B1,other_negative_error,0,76,0.0
B1,over_assertion,0,335,0.0
B1,true_negative,674,674,1.0
B1,unknown_on_negative,0,61,0.0
B1_prime,missing_prediction_status,0,368,0.0
B1_prime,other_negative_error,0,4,0.0
B1_prime,over_assertion,0,224,0.0
B1_prime,true_negative,699,699,1.0
B1_prime,unknown_on_negative,0,223,0.0
B1_prime_link,missing_prediction_status,0,474,0.0
B1_prime_link,other_negative_error,0,163,0.0
B1_prime_link,over_assertion,0,138,0.0
B1_prime_link,true_negative,411,411,1.0
B1_prime_link,unknown_on_negative,0,332,0.0
C1,missing_prediction_status,0,55,0.0
C1,other_negative_error,0,123,0.0
C1,over_assertion,0,389,0.0
C1,true_negative,945,945,1.0
C1,unknown_on_negative,0,6,0.0
C2,missing_prediction_status,0,56,0.0
C2,over_assertion,0,1393,0.0
C2,true_negative,62,62,1.0
C2,unknown_on_negative,0,7,0.0
C3,missing_prediction_status,0,116,0.0
C3,other_negative_error,0,143,0.0
C3,over_assertion,0,366,0.0
C3,true_negative,893,893,1.0
C4,missing_prediction_status,0,266,0.0
C4,other_negative_error,0,6,0.0
C4,over_assertion,0,298,0.0
C4,true_negative,947,947,1.0
C4,unknown_on_negative,0,1,0.0
D1,missing_prediction_status,0,209,0.0
D1,over_assertion,0,106,0.0
D1,true_negative,1203,1203,1.0
