method,field_family,correct,total,accuracy
A1,course / radial,25,409,0.061124694376528114
A1,fix / navaid,116,439,0.2642369020501139
A1,holding,0,198,0.0
A1,path terminator,145,642,0.22585669781931464
A1,转弯,7,52,0.1346153846153846
A1,高度,67,594,0.1127946127946128
A2,course / radial,16,409,0.039119804400977995
A2,fix / navaid,41,439,0.09339407744874716
A2,holding,0,198,0.0
A2,path terminator,121,642,0.18847352024922118
A2,转弯,6,52,0.11538461538461539
A2,高度,42,594,0.0707070707070707
B1,course / radial,56,409,0.13691931540342298
B1,fix / navaid,218,439,0.49658314350797267
B1,holding,2,198,0.010101010101010102
B1,path terminator,88,642,0.13707165109034267
B1,转弯,37,52,0.7115384615384616
B1,高度,4,594,0.006734006734006734
B1_prime,course / radial,119,409,0.29095354523227385
B1_prime,fix / navaid,228,439,0.5193621867881549
B1_prime,holding,1,198,0.005050505050505051
B1_prime,path terminator,198,642,0.308411214953271
B1_prime,转弯,35,52,0.6730769230769231
B1_prime,高度,2,594,0.003367003367003367
B1_prime_link,course / radial,0,409,0.0
B1_prime_link,fix / navaid,211,439,0.4806378132118451
B1_prime_link,holding,0,198,0.0
B1_prime_link,path terminator,23,642,0.03582554517133956
B1_prime_link,转弯,39,52,0.75
B1_prime_link,高度,1,594,0.0016835016835016834
C1,course / radial,137,409,0.33496332518337407
C1,fix / navaid,205,439,0.46697038724373574
C1,holding,13,198,0.06565656565656566
C1,path terminator,54,642,0.08411214953271028
C1,转弯,30,52,0.5769230769230769
C1,高度,149,594,0.25084175084175087
C2,course / radial,124,409,0.30317848410757947
C2,fix / navaid,160,439,0.36446469248291574
C2,holding,17,198,0.08585858585858586
C2,path terminator,180,642,0.2803738317757009
C2,转弯,50,52,0.9615384615384616
C2,高度,367,594,0.6178451178451179
C3,course / radial,132,409,0.32273838630806845
C3,fix / navaid,232,439,0.5284738041002278
C3,holding,11,198,0.05555555555555555
C3,path terminator,84,642,0.1308411214953271
C3,转弯,25,52,0.4807692307692308
C3,高度,148,594,0.24915824915824916
C4,course / radial,85,409,0.2078239608801956
C4,fix / navaid,276,439,0.6287015945330297
C4,holding,6,198,0.030303030303030304
C4,path terminator,106,642,0.16510903426791276
C4,转弯,42,52,0.8076923076923077
C4,高度,114,594,0.1919191919191919
D1,course / radial,315,409,0.7701711491442543
D1,fix / navaid,286,439,0.6514806378132119
D1,holding,22,198,0.1111111111111111
D1,path terminator,497,642,0.7741433021806854
D1,转弯,18,52,0.34615384615384615
D1,高度,399,594,0.6717171717171717
