method,evidence_support_mode,correct,total,accuracy
A1,direct_visible,184,721,0.2552011095700416
A1,insufficient_for_encoding,0,151,0.0
A1,rule_default_completion,176,1455,0.12096219931271478
A1,visible_joint,0,7,0.0
A2,direct_visible,87,721,0.12066574202496533
A2,insufficient_for_encoding,0,151,0.0
A2,rule_default_completion,139,1455,0.09553264604810996
A2,visible_joint,0,7,0.0
B1,direct_visible,245,721,0.33980582524271846
B1,insufficient_for_encoding,0,151,0.0
B1,rule_default_completion,160,1455,0.10996563573883161
B1,visible_joint,0,7,0.0
B1_prime,direct_visible,251,721,0.34812760055478503
B1_prime,insufficient_for_encoding,0,151,0.0
B1_prime,rule_default_completion,332,1455,0.2281786941580756
B1_prime,visible_joint,0,7,0.0
B1_prime_link,direct_visible,222,721,0.3079056865464632
B1_prime_link,insufficient_for_encoding,0,151,0.0
B1_prime_link,rule_default_completion,52,1455,0.03573883161512027
B1_prime_link,visible_joint,0,7,0.0
C1,direct_visible,303,721,0.420249653259362
C1,insufficient_for_encoding,0,151,0.0
C1,rule_default_completion,285,1455,0.1958762886597938
C1,visible_joint,0,7,0.0
C2,direct_visible,402,721,0.5575589459084604
C2,insufficient_for_encoding,0,151,0.0
C2,rule_default_completion,495,1455,0.3402061855670103
C2,visible_joint,1,7,0.14285714285714285
C3,direct_visible,306,721,0.42441054091539526
C3,insufficient_for_encoding,0,151,0.0
C3,rule_default_completion,326,1455,0.22405498281786942
C3,visible_joint,0,7,0.0
C4,direct_visible,372,721,0.5159500693481276
C4,insufficient_for_encoding,0,151,0.0
C4,rule_default_completion,257,1455,0.1766323024054983
C4,visible_joint,0,7,0.0
D1,direct_visible,400,721,0.5547850208044383
D1,insufficient_for_encoding,66,151,0.4370860927152318
D1,rule_default_completion,1071,1455,0.7360824742268042
D1,visible_joint,0,7,0.0
