method,difficulty_level,charts,correct,total,accuracy
A1,core,180,1015,3534,0.28720996038483304
A1,hard,20,169,518,0.32625482625482627
A2,core,180,802,3534,0.22693831352574986
A2,hard,20,114,518,0.22007722007722008
B1,core,180,978,3534,0.2767402376910017
B1,hard,20,132,518,0.2548262548262548
B1_prime,core,180,1138,3534,0.322014714204867
B1_prime,hard,20,170,518,0.3281853281853282
B1_prime_link,core,180,634,3321,0.19090635350797952
B1_prime_link,hard,20,84,362,0.23204419889502761
C1,core,180,1410,3534,0.398981324278438
C1,hard,20,186,518,0.3590733590733591
C2,core,180,956,3534,0.2705149971703452
C2,hard,20,118,518,0.2277992277992278
C3,core,180,1396,3458,0.40370156159629844
C3,hard,20,197,518,0.3803088803088803
C4,core,180,1389,3534,0.3930390492359932
C4,hard,20,249,518,0.4806949806949807
D_SFT,core,180,2697,3256,0.8283169533169533
D_SFT,hard,20,213,468,0.4551282051282051
