method,hard_case_split,correct,total,row_count,missing_score_count,accuracy
A1,core,1015,3534,180,0,0.28720996038483304
A1,hard,169,518,20,0,0.32625482625482627
A2,core,802,3534,180,0,0.22693831352574986
A2,hard,114,518,20,0,0.22007722007722008
B1,core,978,3534,180,0,0.2767402376910017
B1,hard,132,518,20,0,0.2548262548262548
B1_prime,core,1138,3534,180,0,0.322014714204867
B1_prime,hard,170,518,20,0,0.3281853281853282
B1_prime_link,core,634,3321,171,9,0.19090635350797952
B1_prime_link,hard,84,362,14,6,0.23204419889502761
C1,core,1410,3534,180,0,0.398981324278438
C1,hard,186,518,20,0,0.3590733590733591
C2,core,956,3534,180,0,0.2705149971703452
C2,hard,118,518,20,0,0.2277992277992278
C3,core,1396,3458,176,4,0.40370156159629844
C3,hard,197,518,20,0,0.3803088803088803
C4,core,1389,3534,180,0,0.3930390492359932
C4,hard,249,518,20,0,0.4806949806949807
D_SFT,core,2697,3256,166,14,0.8283169533169533
D_SFT,hard,213,468,18,2,0.4551282051282051
