method,status,samples_total,schema_valid,samples_scored,method_failure_count,correct,total,accuracy,schema_retry_count_total,qa_schema_retry_count_total
A1,complete,200,200,200,0,1184,4052,0.29220138203356366,0,
A2,complete,200,200,200,0,916,4052,0.22606120434353405,0,
B1,complete,200,200,200,0,1104,4052,0.2724580454096742,10,
B1_prime,complete,200,200,200,0,1303,4052,0.32156959526159923,16,
B1_prime_link,complete_with_method_failures,200,185,185,15,718,3683,0.19494976920988324,51,
C1,complete,200,200,200,0,1503,4052,0.3709279368213228,16,
C2,complete,200,200,200,0,970,4052,0.23938795656465942,,18
C3,complete_with_method_failures,200,196,196,4,1522,3976,0.3827967806841046,27,
C4,complete,200,200,200,0,1624,4052,0.40078973346495556,3,
D_SFT,complete_with_method_failures,200,184,184,16,2739,3724,0.735499462943072,,
