method,scope,correct,total,accuracy
A1,Q4_course_or_radial,98,642,0.1526479750778816
A1,Q5_hold_params,0,401,0.0
A1,Q4_plus_Q5_inbound_course,98,1043,0.09395973154362416
A1,policy:degree_display_rounding,4,380,0.010526315789473684
A1,policy:exact_status_value,94,663,0.14177978883861236
A1,error:missing_leg_or_field,,296,
A1,error:status_not_applicable,,204,
A1,error:target_not_present_but_pred_present,,204,
A1,error:status_unknown,,139,
A1,error:correct,,98,
A1,error:missing_inbound_course_deg,,59,
A1,error:type_mismatch:direct->course_deg,,40,
A1,error:round_equivalent_but_other_mismatch,,3,
A2,Q4_course_or_radial,80,642,0.12461059190031153
A2,Q5_hold_params,0,371,0.0
A2,Q4_plus_Q5_inbound_course,80,1013,0.07897334649555775
A2,policy:degree_display_rounding,2,380,0.005263157894736842
A2,policy:exact_status_value,78,633,0.12322274881516587
A2,error:missing_leg_or_field,,383,
A2,error:target_not_present_but_pred_present,,175,
A2,error:status_not_applicable,,174,
A2,error:status_unknown,,105,
A2,error:correct,,80,
A2,error:missing_inbound_course_deg,,61,
A2,error:type_mismatch:direct->course_deg,,32,
A2,error:round_equivalent_but_other_mismatch,,3,
B1_prime_link,Q4_course_or_radial,5,583,0.008576329331046312
B1_prime_link,Q5_hold_params,0,204,0.0
B1_prime_link,Q4_plus_Q5_inbound_course,5,787,0.0063532401524777635
B1_prime_link,policy:degree_display_rounding,0,354,0.0
B1_prime_link,policy:exact_status_value,5,433,0.011547344110854504
B1_prime_link,error:missing_leg_or_field,,306,
B1_prime_link,error:status_unknown,,248,
B1_prime_link,error:status_not_observable,,158,
B1_prime_link,error:status_not_applicable,,42,
B1_prime_link,error:target_not_present_but_pred_present,,21,
B1_prime_link,error:correct,,5,
B1_prime_link,error:missing_inbound_course_deg,,3,
B1_prime_link,error:inbound_degree_numeric_mismatch,,2,
B1_prime_link,error:type_mismatch:course_deg->direct,,1,
B1_prime_link,"error:inbound_round_equivalent_but_hold_other_mismatch:leg_distance_nm,turn",,1,
