method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
V0_full_chart__B1,V0_full_chart__C4,method_a - method_b,-0.1303060217176703,-0.15612878853018824,-0.10575816459648511,10000
V0_full_chart__B1,V0_full_chart__D1,method_a - method_b,-0.5054294175715696,-0.5405348790073429,-0.4692044554971344,10000
V0_full_chart__B1,V1_ma_text_only__B1,method_a - method_b,-0.01382033563672258,-0.033366057360352495,0.006170711730620075,10000
V0_full_chart__B1,V1_ma_text_only__C4,method_a - method_b,-0.20681145113524185,-0.2359186187822002,-0.17785566846578998,10000
V0_full_chart__B1,V1_ma_text_only__D1,method_a - method_b,0.25444225074037513,0.22778771237463447,0.27995197765121926,10000
V0_full_chart__B1,V2_full_minus_ma_prose__B1,method_a - method_b,0.07897334649555776,0.05242528172464478,0.10582678777784502,10000
V0_full_chart__B1,V2_full_minus_ma_prose__C4,method_a - method_b,-0.11451135241855875,-0.15148516057158568,-0.07631990404024841,10000
V0_full_chart__B1,V2_full_minus_ma_prose__D1,method_a - method_b,-0.4437314906219151,-0.4818511757470748,-0.40477274754393794,10000
V0_full_chart__B1,V3_plan_view_only__B1,method_a - method_b,0.24086870681145114,0.2171534504552326,0.2647345348270823,10000
V0_full_chart__B1,V3_plan_view_only__C4,method_a - method_b,-0.05700888450148073,-0.09301195215700905,-0.02128633952124825,10000
V0_full_chart__B1,V3_plan_view_only__D1,method_a - method_b,-0.2909674234945706,-0.3251382908818138,-0.2558881256133464,10000
V0_full_chart__B1,V4_icon_detail_only__B1,method_a - method_b,0.27393879565646595,0.2535519200072189,0.29503354182367364,10000
V0_full_chart__B1,V4_icon_detail_only__C4,method_a - method_b,0.2653010858835143,0.24457051390827977,0.2865031120156503,10000
V0_full_chart__B1,V4_icon_detail_only__D1,method_a - method_b,0.19126357354392892,0.15635794031954187,0.22485217003956492,10000
V0_full_chart__B1,V5_plan_detail_no_ma__B1,method_a - method_b,0.2031095755182626,0.1783391695847924,0.2282340681258648,10000
V0_full_chart__B1,V5_plan_detail_no_ma__C4,method_a - method_b,-0.01702862783810466,-0.05462195212730759,0.021290137502923443,10000
V0_full_chart__B1,V5_plan_detail_no_ma__D1,method_a - method_b,-0.3635241855873642,-0.3971828072958872,-0.32923090281186806,10000
V0_full_chart__C4,V0_full_chart__D1,method_a - method_b,-0.37512339585389926,-0.41843836096856235,-0.33217451376386264,10000
V0_full_chart__C4,V1_ma_text_only__B1,method_a - method_b,0.11648568608094773,0.0894527900716,0.1448227110342121,10000
V0_full_chart__C4,V1_ma_text_only__C4,method_a - method_b,-0.07650542941757155,-0.10768994808641137,-0.044896485076234484,10000
V0_full_chart__C4,V1_ma_text_only__D1,method_a - method_b,0.38474827245804544,0.3508052204642514,0.41833868641043687,10000
V0_full_chart__C4,V2_full_minus_ma_prose__B1,method_a - method_b,0.20927936821322807,0.1740208230044621,0.2442268904335343,10000
V0_full_chart__C4,V2_full_minus_ma_prose__C4,method_a - method_b,0.015794669299111552,-0.028052217986828772,0.06151641092981889,10000
V0_full_chart__C4,V2_full_minus_ma_prose__D1,method_a - method_b,-0.3134254689042448,-0.359123430752715,-0.2684824902723736,10000
V0_full_chart__C4,V3_plan_view_only__B1,method_a - method_b,0.3711747285291215,0.33889442231075695,0.40332275448602845,10000
V0_full_chart__C4,V3_plan_view_only__C4,method_a - method_b,0.07329713721618958,0.030737085768474177,0.11563110772364145,10000
V0_full_chart__C4,V3_plan_view_only__D1,method_a - method_b,-0.1606614017769003,-0.20139260370567094,-0.11884679448001463,10000
V0_full_chart__C4,V4_icon_detail_only__B1,method_a - method_b,0.40424481737413626,0.37537456957144144,0.4339531478011109,10000
V0_full_chart__C4,V4_icon_detail_only__C4,method_a - method_b,0.3956071076011846,0.36673270696428484,0.4249379841488798,10000
V0_full_chart__C4,V4_icon_detail_only__D1,method_a - method_b,0.32156959526159923,0.2833654339244975,0.3595478092710745,10000
V0_full_chart__C4,V5_plan_detail_no_ma__B1,method_a - method_b,0.3334155972359329,0.300547607167014,0.36638779527559057,10000
V0_full_chart__C4,V5_plan_detail_no_ma__C4,method_a - method_b,0.11327739387956565,0.06924593395761458,0.15698818897637795,10000
V0_full_chart__C4,V5_plan_detail_no_ma__D1,method_a - method_b,-0.2332181638696939,-0.27399345985692547,-0.19243386216592998,10000
V0_full_chart__D1,V1_ma_text_only__B1,method_a - method_b,0.491609081934847,0.4553993343838935,0.5275181249146429,10000
V0_full_chart__D1,V1_ma_text_only__C4,method_a - method_b,0.2986179664363277,0.25121942322292873,0.3466743406826343,10000
