method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
V0_full_chart__B1,200,200,0,1110.0,4052.0,0.27393879565646595,0.2535519200072189,0.29503354182367364,10000,200
V0_full_chart__C4,200,200,0,1638.0,4052.0,0.40424481737413626,0.37537456957144144,0.4339531478011109,10000,200
V0_full_chart__D1,200,200,0,3158.0,4052.0,0.7793682132280355,0.7506106051149187,0.807286432160804,10000,200
V1_ma_text_only__B1,200,200,0,1166.0,4052.0,0.28775913129318853,0.26894643267562673,0.30746879769538327,10000,200
V1_ma_text_only__C4,200,200,0,1948.0,4052.0,0.4807502467917078,0.44979663700559697,0.5112395168525742,10000,200
V1_ma_text_only__D1,200,200,0,79.0,4052.0,0.01949654491609082,0.005994005994005994,0.03617178746891578,10000,200
V2_full_minus_ma_prose__B1,200,200,0,790.0,4052.0,0.1949654491609082,0.17716535433070865,0.21343579573624194,10000,200
V2_full_minus_ma_prose__C4,200,200,0,1574.0,4052.0,0.3884501480750247,0.3587433024841695,0.4170804678505442,10000,200
V2_full_minus_ma_prose__D1,200,200,0,2908.0,4052.0,0.717670286278381,0.6858536585365854,0.7484879032258065,10000,200
V3_plan_view_only__B1,200,200,0,134.0,4052.0,0.033070088845014806,0.024606299212598427,0.04226891124406315,10000,200
V3_plan_view_only__C4,200,200,0,1341.0,4052.0,0.3309476801579467,0.3038593063019052,0.3575973729394455,10000,200
V3_plan_view_only__D1,200,200,0,2289.0,4052.0,0.5649062191510366,0.5367713326703855,0.5923578972829153,10000,200
V4_icon_detail_only__B1,200,200,0,0.0,4052.0,0.0,0.0,0.0,10000,200
V4_icon_detail_only__C4,200,200,0,35.0,4052.0,0.008637709772951628,0.0017274780976920543,0.017586712261846604,10000,200
V4_icon_detail_only__D1,200,200,0,335.0,4052.0,0.08267522211253701,0.05284858697622578,0.11571158788615825,10000,200
V5_plan_detail_no_ma__B1,200,200,0,287.0,4052.0,0.07082922013820335,0.05911766382960474,0.08304326205867728,10000,200
V5_plan_detail_no_ma__C4,200,200,0,1179.0,4052.0,0.2909674234945706,0.26033423576823533,0.3213586813196581,10000,200
V5_plan_detail_no_ma__D1,200,200,0,2583.0,4052.0,0.6374629812438302,0.6101611066579158,0.6653427490512532,10000,200
