method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
V1_OCR_text_chartdisplay_v2,V2_direct_image_policyv3_chartdisplay_v2,method_a - method_b,-0.07750000000000001,-0.13138686131386867,-0.02056292283315474,10000
V1_OCR_text_chartdisplay_v2,V3_C4_group1v2_neutralized,method_a - method_b,-0.010000000000000009,-0.05990893920808055,0.045333501259445845,10000
V1_OCR_text_chartdisplay_v2,V3_D1_SFT_group1v2_neutralized,method_a - method_b,-0.030000000000000027,-0.08168435833968013,0.02597571699134192,10000
V1_OCR_text_chartdisplay_v2,V4_C4_tolerant_chartdisplay_v2,method_a - method_b,-0.015000000000000013,-0.0548656173701871,0.02670065315474921,10000
V1_OCR_text_chartdisplay_v2,V4_D1_SFT_tolerant_chartdisplay_v2,method_a - method_b,-0.0675,-0.11029411764705876,-0.02412868632707776,10000
V1_OCR_text_chartdisplay_v2,control_all_accept,method_a - method_b,-0.010000000000000009,-0.051913455397062,0.030807516520133752,10000
V1_OCR_text_chartdisplay_v2,control_all_reject,method_a - method_b,-0.010000000000000009,-0.05990893920808055,0.045333501259445845,10000
V1_OCR_text_chartdisplay_v2,control_oracle_label,method_a - method_b,-0.51,-0.5460997211319976,-0.47272371231901267,10000
V1_OCR_text_chartdisplay_v2,control_v0_candidate_integrity,method_a - method_b,-0.010000000000000009,-0.051913455397062,0.030807516520133752,10000
V2_direct_image_policyv3_chartdisplay_v2,V3_C4_group1v2_neutralized,method_a - method_b,0.0675,0.032418952618453845,0.10539845758354749,10000
V2_direct_image_policyv3_chartdisplay_v2,V3_D1_SFT_group1v2_neutralized,method_a - method_b,0.04749999999999999,0.011418073598923878,0.08695922561107508,10000
V2_direct_image_policyv3_chartdisplay_v2,V4_C4_tolerant_chartdisplay_v2,method_a - method_b,0.0625,0.013332446808510623,0.1100006112469438,10000
V2_direct_image_policyv3_chartdisplay_v2,V4_D1_SFT_tolerant_chartdisplay_v2,method_a - method_b,0.010000000000000009,-0.041163391693052685,0.060532687651331685,10000
V2_direct_image_policyv3_chartdisplay_v2,control_all_accept,method_a - method_b,0.0675,0.007894218814753447,0.12351679829543911,10000
V2_direct_image_policyv3_chartdisplay_v2,control_all_reject,method_a - method_b,0.0675,0.032418952618453845,0.10539845758354749,10000
V2_direct_image_policyv3_chartdisplay_v2,control_oracle_label,method_a - method_b,-0.4325,-0.47103324274161473,-0.3951219512195122,10000
V2_direct_image_policyv3_chartdisplay_v2,control_v0_candidate_integrity,method_a - method_b,0.0675,0.007894218814753447,0.12351679829543911,10000
V3_C4_group1v2_neutralized,V3_D1_SFT_group1v2_neutralized,method_a - method_b,-0.020000000000000018,-0.034947580645161305,-0.007443708080485543,10000
V3_C4_group1v2_neutralized,V4_C4_tolerant_chartdisplay_v2,method_a - method_b,-0.0050000000000000044,-0.053908355795148244,0.03971962616822422,10000
V3_C4_group1v2_neutralized,V4_D1_SFT_tolerant_chartdisplay_v2,method_a - method_b,-0.057499999999999996,-0.10594315245478042,-0.014051522248243575,10000
V3_C4_group1v2_neutralized,control_all_accept,method_a - method_b,0.0,-0.06382978723404253,0.05882352941176472,10000
V3_C4_group1v2_neutralized,control_all_reject,method_a - method_b,0.0,0.0,0.0,10000
V3_C4_group1v2_neutralized,control_oracle_label,method_a - method_b,-0.5,-0.5319148936170213,-0.47058823529411764,10000
V3_C4_group1v2_neutralized,control_v0_candidate_integrity,method_a - method_b,0.0,-0.06382978723404253,0.05882352941176472,10000
V3_D1_SFT_group1v2_neutralized,V4_C4_tolerant_chartdisplay_v2,method_a - method_b,0.015000000000000013,-0.03421278294681297,0.05980861244019137,10000
V3_D1_SFT_group1v2_neutralized,V4_D1_SFT_tolerant_chartdisplay_v2,method_a - method_b,-0.03749999999999998,-0.0859375,0.007263922518159771,10000
V3_D1_SFT_group1v2_neutralized,control_all_accept,method_a - method_b,0.020000000000000018,-0.04289544235924936,0.07692307692307698,10000
V3_D1_SFT_group1v2_neutralized,control_all_reject,method_a - method_b,0.020000000000000018,0.00744370808048554,0.0349475806451613,10000
V3_D1_SFT_group1v2_neutralized,control_oracle_label,method_a - method_b,-0.48,-0.5122157647357722,-0.45047169811320753,10000
V3_D1_SFT_group1v2_neutralized,control_v0_candidate_integrity,method_a - method_b,0.020000000000000018,-0.04289544235924936,0.07692307692307698,10000
V4_C4_tolerant_chartdisplay_v2,V4_D1_SFT_tolerant_chartdisplay_v2,method_a - method_b,-0.05249999999999999,-0.08830564423643184,-0.015543037313732593,10000
V4_C4_tolerant_chartdisplay_v2,control_all_accept,method_a - method_b,0.0050000000000000044,-0.03713527851458892,0.044554455445544594,10000
V4_C4_tolerant_chartdisplay_v2,control_all_reject,method_a - method_b,0.0050000000000000044,-0.03971962616822422,0.053908355795148244,10000
V4_C4_tolerant_chartdisplay_v2,control_oracle_label,method_a - method_b,-0.495,-0.5261845386533666,-0.46272493573264784,10000
V4_C4_tolerant_chartdisplay_v2,control_v0_candidate_integrity,method_a - method_b,0.0050000000000000044,-0.03713527851458892,0.044554455445544594,10000
V4_D1_SFT_tolerant_chartdisplay_v2,control_all_accept,method_a - method_b,0.057499999999999996,0.010610079575596787,0.10138330362577166,10000
V4_D1_SFT_tolerant_chartdisplay_v2,control_all_reject,method_a - method_b,0.057499999999999996,0.014051522248243575,0.10594315245478042,10000
V4_D1_SFT_tolerant_chartdisplay_v2,control_oracle_label,method_a - method_b,-0.4425,-0.4766584766584766,-0.4080604534005038,10000
V4_D1_SFT_tolerant_chartdisplay_v2,control_v0_candidate_integrity,method_a - method_b,0.057499999999999996,0.010610079575596787,0.10138330362577166,10000
control_all_accept,control_all_reject,method_a - method_b,0.0,-0.05882352941176472,0.06382978723404253,10000
control_all_accept,control_oracle_label,method_a - method_b,-0.5,-0.5294117647058824,-0.46808510638297873,10000
control_all_accept,control_v0_candidate_integrity,method_a - method_b,0.0,0.0,0.0,10000
control_all_reject,control_oracle_label,method_a - method_b,-0.5,-0.5319148936170213,-0.47058823529411764,10000
control_all_reject,control_v0_candidate_integrity,method_a - method_b,0.0,-0.06382978723404253,0.05882352941176472,10000
control_oracle_label,control_v0_candidate_integrity,method_a - method_b,0.5,0.46808510638297873,0.5294117647058824,10000
