method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
V1_OCR_text_chartdisplay_v2,200,200,0,196.0,400.0,0.49,0.4539002788680025,0.5272762876809873,10000,400
V2_direct_image_policyv3_chartdisplay_v2,200,200,0,227.0,400.0,0.5675,0.5289667572583853,0.6048780487804878,10000,400
V3_C4_group1v2_neutralized,200,200,0,200.0,400.0,0.5,0.46808510638297873,0.5294117647058824,10000,400
V3_D1_SFT_group1v2_neutralized,200,200,0,208.0,400.0,0.52,0.4877842352642278,0.5495283018867925,10000,400
V4_C4_tolerant_chartdisplay_v2,200,200,0,202.0,400.0,0.505,0.47381546134663344,0.5372750642673522,10000,400
V4_D1_SFT_tolerant_chartdisplay_v2,200,200,0,223.0,400.0,0.5575,0.5233415233415234,0.5919395465994962,10000,400
control_all_accept,200,200,0,200.0,400.0,0.5,0.47058823529411764,0.5319148936170213,10000,400
control_all_reject,200,200,0,200.0,400.0,0.5,0.46808510638297873,0.5294117647058824,10000,400
control_oracle_label,200,200,0,400.0,400.0,1.0,1.0,1.0,10000,400
control_v0_candidate_integrity,200,200,0,200.0,400.0,0.5,0.47058823529411764,0.5319148936170213,10000,400
