method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
A1,A2,method_a - method_b,0.06614017769002961,0.03913627771457532,0.09402137568409137,10000
A1,B1,method_a - method_b,0.01826258637709771,-0.008017145673858708,0.04554455445544553,10000
A1,B1_prime,method_a - method_b,-0.03060217176702862,-0.0561873140446329,-0.004950311516569361,10000
A1,B1_prime_link,method_a - method_b,0.11500493583415597,0.09005856009442637,0.14026843408763903,10000
A1,C1,method_a - method_b,-0.1016781836130306,-0.12926829268292683,-0.07414728186827096,10000
A1,C2,method_a - method_b,0.027147087857847974,0.0012394645513137958,0.05334627796487062,10000
A1,C3,method_a - method_b,-0.10093780848963474,-0.13092373468538843,-0.0713919226247771,10000
A1,C4,method_a - method_b,-0.1120434353405726,-0.14382250752167977,-0.08043439638645795,10000
A1,D1,method_a - method_b,-0.48716683119447185,-0.5263954096332872,-0.4488905515142789,10000
A2,B1,method_a - method_b,-0.0478775913129319,-0.07611935723353785,-0.019364448857994068,10000
A2,B1_prime,method_a - method_b,-0.09674234945705823,-0.12734527253834588,-0.06624141315014723,10000
A2,B1_prime_link,method_a - method_b,0.04886475814412636,0.018591944014041125,0.0782329713721619,10000
A2,C1,method_a - method_b,-0.16781836130306022,-0.19617246618366252,-0.13960280487508214,10000
A2,C2,method_a - method_b,-0.03899308983218164,-0.06612841888542849,-0.012302434593596657,10000
A2,C3,method_a - method_b,-0.16707798617966435,-0.19885861801290916,-0.13564313863818817,10000
A2,C4,method_a - method_b,-0.1781836130306022,-0.21421607851652452,-0.14243880575259937,10000
A2,D1,method_a - method_b,-0.5533070088845015,-0.5893499041441503,-0.5180740723995716,10000
B1,B1_prime,method_a - method_b,-0.04886475814412633,-0.07073245640318811,-0.026892430278884494,10000
B1,B1_prime_link,method_a - method_b,0.09674234945705826,0.0795943243435749,0.1132680527831071,10000
B1,C1,method_a - method_b,-0.11994076999012832,-0.14175769612711026,-0.09832398567347445,10000
B1,C2,method_a - method_b,0.008884501480750262,-0.01061283145836798,0.028962502317202432,10000
B1,C3,method_a - method_b,-0.11920039486673245,-0.14345488041656712,-0.0957549200814938,10000
B1,C4,method_a - method_b,-0.1303060217176703,-0.15612878853018824,-0.10575816459648511,10000
B1,D1,method_a - method_b,-0.5054294175715696,-0.5405348790073429,-0.4692044554971344,10000
B1_prime,B1_prime_link,method_a - method_b,0.1456071076011846,0.12787085951340124,0.1633954857703631,10000
B1_prime,C1,method_a - method_b,-0.07107601184600199,-0.09290769783849369,-0.049485546300832906,10000
B1_prime,C2,method_a - method_b,0.05774925962487659,0.03682014347700143,0.07912818665812013,10000
B1_prime,C3,method_a - method_b,-0.07033563672260612,-0.0963263990411134,-0.04549918294167054,10000
B1_prime,C4,method_a - method_b,-0.08144126357354398,-0.10949820932208618,-0.05373656872892957,10000
B1_prime,D1,method_a - method_b,-0.45656465942744323,-0.4912324649298597,-0.42093676485963727,10000
B1_prime_link,C1,method_a - method_b,-0.21668311944718657,-0.2384315635655139,-0.19569419318990172,10000
B1_prime_link,C2,method_a - method_b,-0.087857847976308,-0.1062104967422811,-0.06949184235628396,10000
B1_prime_link,C3,method_a - method_b,-0.2159427443237907,-0.2389271653543307,-0.1928361138370952,10000
B1_prime_link,C4,method_a - method_b,-0.22704837117472856,-0.25122005716084966,-0.20371299237926804,10000
B1_prime_link,D1,method_a - method_b,-0.6021717670286278,-0.6355217945822131,-0.5677056079653213,10000
C1,C2,method_a - method_b,0.12882527147087858,0.1112985961354749,0.14658558856812656,10000
C1,C3,method_a - method_b,0.0007403751233958644,-0.021166022823442526,0.022951628825271464,10000
C1,C4,method_a - method_b,-0.01036525172754199,-0.04067889182502142,0.020238422781073753,10000
C1,D1,method_a - method_b,-0.38548864758144125,-0.4147073536768384,-0.3561300892442242,10000
C2,C3,method_a - method_b,-0.1280848963474827,-0.14987535767460952,-0.10616604395005552,10000
C2,C4,method_a - method_b,-0.13919052319842057,-0.16806112685676755,-0.11113910974195976,10000
C2,D1,method_a - method_b,-0.5143139190523198,-0.5430776892430278,-0.48498734743531635,10000
C3,C4,method_a - method_b,-0.011105626850937855,-0.041464891552029676,0.01952372036161572,10000
C3,D1,method_a - method_b,-0.3862290227048371,-0.4194627471078196,-0.35384166539894135,10000
C4,D1,method_a - method_b,-0.37512339585389926,-0.41843836096856235,-0.33217451376386264,10000
