method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
A1,A2,method_a - method_b,0.09222661396574439,0.05287802646617808,0.13324758135444148,10000
A1,B1,method_a - method_b,0.06719367588932806,0.0343885926016742,0.10123525404936153,10000
A1,B1_prime,method_a - method_b,0.050724637681159424,0.017868665500614566,0.08404478994704188,10000
A1,B1_prime_link,method_a - method_b,0.2404479578392622,0.20170772466428397,0.2797131377598753,10000
A1,C1,method_a - method_b,-0.11133069828721998,-0.14529374316294846,-0.07722765797522158,10000
A1,C2,method_a - method_b,0.47035573122529645,0.4358966177409062,0.5053856026005927,10000
A1,C3,method_a - method_b,-0.07707509881422925,-0.11226510400976922,-0.04160945538486716,10000
A1,C4,method_a - method_b,-0.11264822134387353,-0.14949528067560858,-0.07551992004843025,10000
A1,D1,method_a - method_b,-0.2812911725955204,-0.3349258944228562,-0.22849759670310038,10000
A2,B1,method_a - method_b,-0.025032938076416322,-0.0661052580836944,0.01615255252789825,10000
A2,B1_prime,method_a - method_b,-0.04150197628458496,-0.08520504343791924,0.001993388615960983,10000
A2,B1_prime_link,method_a - method_b,0.14822134387351782,0.09812758578201686,0.19678558668912366,10000
A2,C1,method_a - method_b,-0.20355731225296436,-0.24450264809255756,-0.16137352790578602,10000
A2,C2,method_a - method_b,0.37812911725955206,0.335508402838606,0.42187706679894177,10000
A2,C3,method_a - method_b,-0.16930171277997363,-0.21368091844480935,-0.12398798754446205,10000
A2,C4,method_a - method_b,-0.20487483530961792,-0.2518392826784675,-0.1572737230625799,10000
A2,D1,method_a - method_b,-0.3735177865612648,-0.4272174921117513,-0.3202041102509678,10000
B1,B1_prime,method_a - method_b,-0.01646903820816864,-0.04103286308657996,0.008730985306730405,10000
B1,B1_prime_link,method_a - method_b,0.17325428194993414,0.14372021942498117,0.20132013201320131,10000
B1,C1,method_a - method_b,-0.17852437417654804,-0.2041344100201167,-0.15333269720101783,10000
B1,C2,method_a - method_b,0.4031620553359684,0.37960358042383185,0.42751229129784596,10000
B1,C3,method_a - method_b,-0.1442687747035573,-0.1711596309076948,-0.11737400530503983,10000
B1,C4,method_a - method_b,-0.1798418972332016,-0.2098291980592481,-0.15084461403994973,10000
B1,D1,method_a - method_b,-0.34848484848484845,-0.3951578476731076,-0.3006562792734968,10000
B1_prime,B1_prime_link,method_a - method_b,0.18972332015810278,0.15915035547274972,0.21914413556740286,10000
B1_prime,C1,method_a - method_b,-0.1620553359683794,-0.18648473034437946,-0.13813996507493675,10000
B1_prime,C2,method_a - method_b,0.419631093544137,0.3965514373551747,0.4427231412588011,10000
B1_prime,C3,method_a - method_b,-0.12779973649538867,-0.15544075293671722,-0.10019615254969715,10000
B1_prime,C4,method_a - method_b,-0.16337285902503296,-0.195075680447532,-0.13149158994482746,10000
B1_prime,D1,method_a - method_b,-0.3320158102766798,-0.38011026170374096,-0.2837375567684626,10000
B1_prime_link,C1,method_a - method_b,-0.3517786561264822,-0.3877557582518538,-0.3156146179401994,10000
B1_prime_link,C2,method_a - method_b,0.22990777338603424,0.19499670830512789,0.2658074740224513,10000
B1_prime_link,C3,method_a - method_b,-0.31752305665349145,-0.35344868689304426,-0.2806777157288571,10000
B1_prime_link,C4,method_a - method_b,-0.35309617918313574,-0.3851265972315482,-0.32212165062948556,10000
B1_prime_link,D1,method_a - method_b,-0.5217391304347826,-0.5762936816026385,-0.4670072698912188,10000
C1,C2,method_a - method_b,0.5816864295125165,0.5579564262545023,0.6052459030899373,10000
C1,C3,method_a - method_b,0.03425559947299073,0.010594978070558609,0.058361370887886406,10000
C1,C4,method_a - method_b,-0.0013175230566535578,-0.03585759525998566,0.034801836949716676,10000
C1,D1,method_a - method_b,-0.1699604743083004,-0.21385574095330367,-0.12435698270339529,10000
C2,C3,method_a - method_b,-0.5474308300395258,-0.5711410722338648,-0.5229953033548205,10000
C2,C4,method_a - method_b,-0.58300395256917,-0.617414686897094,-0.5494833821803934,10000
C2,D1,method_a - method_b,-0.7516469038208169,-0.7977856078462744,-0.7057695412033169,10000
C3,C4,method_a - method_b,-0.035573122529644285,-0.07087180431566412,0.0006662336220297964,10000
C3,D1,method_a - method_b,-0.20421607378129114,-0.2488170061613766,-0.1585897450341945,10000
C4,D1,method_a - method_b,-0.16864295125164686,-0.2235449735449735,-0.11280651435916156,10000
