method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
A1,200,200,0,776.0,1518.0,0.5111989459815547,0.4795314979054663,0.5430295629915889,10000,1518
A2,200,200,0,636.0,1518.0,0.4189723320158103,0.3785947204968944,0.4596609076597923,10000,1518
B1,200,200,0,674.0,1518.0,0.4440052700922266,0.42355199623818157,0.4647992980685899,10000,1518
B1_prime,200,200,0,699.0,1518.0,0.46047430830039526,0.4399471481773838,0.4809364548494983,10000,1518
B1_prime_link,200,200,0,411.0,1518.0,0.2707509881422925,0.23935316945584453,0.3033123694386417,10000,1518
C1,200,200,0,945.0,1518.0,0.6225296442687747,0.60369850671764,0.641650324180195,10000,1518
C2,200,200,0,62.0,1518.0,0.04084321475625823,0.02880046933652007,0.05400170759791011,10000,1518
C3,200,200,0,893.0,1518.0,0.5882740447957839,0.5675488004866823,0.6086678180935796,10000,1518
C4,200,200,0,947.0,1518.0,0.6238471673254282,0.5932203389830508,0.6549673783045643,10000,1518
D1,200,200,0,1203.0,1518.0,0.7924901185770751,0.7485293866398915,0.8364364809107179,10000,1518
