method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
A1,A2,method_a - method_b,0.057412167952013704,0.03741906018044312,0.07795622638153109,10000
A1,B1,method_a - method_b,-0.01928020565552699,-0.043965866927765836,0.0060583777857666325,10000
A1,B1_prime,method_a - method_b,-0.09554413024850042,-0.12018866034779706,-0.07097043125680949,10000
A1,B1_prime_link,method_a - method_b,0.03684661525278492,0.017756412419686552,0.05663659167390301,10000
A1,C1,method_a - method_b,-0.09768637532133675,-0.12489311596679285,-0.06952743944288368,10000
A1,C2,method_a - method_b,-0.23050556983718937,-0.2566822231650403,-0.2043701799485861,10000
A1,C3,method_a - method_b,-0.11653813196229648,-0.14532188684286776,-0.0871234972159524,10000
A1,C4,method_a - method_b,-0.11525278491859467,-0.14407875776324636,-0.08723634951418838,10000
A1,D1,method_a - method_b,-0.5042844901456727,-0.5473739753185423,-0.460548038486738,10000
A2,B1,method_a - method_b,-0.07669237360754069,-0.10025608379550625,-0.05411195491050689,10000
A2,B1_prime,method_a - method_b,-0.15295629820051412,-0.17771279770955806,-0.12831342750277863,10000
A2,B1_prime_link,method_a - method_b,-0.020565552699228787,-0.03860885573244523,-0.0025550145139608873,10000
A2,C1,method_a - method_b,-0.15509854327335046,-0.18069804822357205,-0.12989681658051752,10000
A2,C2,method_a - method_b,-0.28791773778920304,-0.3121264510806463,-0.26357961072761105,10000
A2,C3,method_a - method_b,-0.17395029991431019,-0.20129324339453647,-0.14642471887158007,10000
A2,C4,method_a - method_b,-0.17266495287060837,-0.20306529755600017,-0.1437202630114762,10000
A2,D1,method_a - method_b,-0.5616966580976863,-0.601116539866172,-0.5214069226527799,10000
B1,B1_prime,method_a - method_b,-0.07626392459297343,-0.09982790139625712,-0.05269697476145765,10000
B1,B1_prime_link,method_a - method_b,0.056126820908311906,0.03772706311392136,0.07478661991783539,10000
B1,C1,method_a - method_b,-0.07840616966580977,-0.10184787279759344,-0.055053371937395866,10000
B1,C2,method_a - method_b,-0.21122536418166238,-0.23357664233576642,-0.1888139813231714,10000
B1,C3,method_a - method_b,-0.0972579263067695,-0.12258894127732531,-0.07250723078607825,10000
B1,C4,method_a - method_b,-0.09597257926306768,-0.12079486534299938,-0.07246843036270452,10000
B1,D1,method_a - method_b,-0.48500428449014565,-0.528229647708833,-0.44078645298690855,10000
B1_prime,B1_prime_link,method_a - method_b,0.13239074550128532,0.114956646350312,0.150108019371255,10000
B1_prime,C1,method_a - method_b,-0.002142245072836335,-0.028696220578094973,0.02397285940570826,10000
B1_prime,C2,method_a - method_b,-0.13496143958868895,-0.16093016881616487,-0.10846422893250725,10000
B1_prime,C3,method_a - method_b,-0.020994001713796062,-0.050811447109334024,0.007646721602829767,10000
B1_prime,C4,method_a - method_b,-0.01970865467009425,-0.04745617785378364,0.007324508052414995,10000
B1_prime,D1,method_a - method_b,-0.4087403598971722,-0.45169780318717934,-0.365522277921451,10000
B1_prime_link,C1,method_a - method_b,-0.13453299057412166,-0.15461305603800457,-0.11476091730543278,10000
B1_prime_link,C2,method_a - method_b,-0.26735218508997427,-0.2872431506849315,-0.24733917985333323,10000
B1_prime_link,C3,method_a - method_b,-0.15338474721508139,-0.17662287157528517,-0.13018905087781316,10000
B1_prime_link,C4,method_a - method_b,-0.15209940017137957,-0.17649743616161223,-0.12831427241167156,10000
B1_prime_link,D1,method_a - method_b,-0.5411311053984575,-0.5784065873479081,-0.5029938203797183,10000
C1,C2,method_a - method_b,-0.1328191945158526,-0.1554518974126458,-0.1095702111336277,10000
C1,C3,method_a - method_b,-0.018851756640959727,-0.04392847571688056,0.006374976206198841,10000
C1,C4,method_a - method_b,-0.017566409597257915,-0.04721089398228473,0.011559087657410722,10000
C1,D1,method_a - method_b,-0.4065981148243359,-0.4467369930082402,-0.366665613147914,10000
C2,C3,method_a - method_b,0.11396743787489289,0.08719606083778242,0.14047162377346278,10000
C2,C4,method_a - method_b,0.1152527849185947,0.08650952483273193,0.14285869430309045,10000
C2,D1,method_a - method_b,-0.2737789203084833,-0.3129857207850064,-0.23405806018630954,10000
C3,C4,method_a - method_b,0.0012853470437018122,-0.02790927351827177,0.030107850757870223,10000
C3,D1,method_a - method_b,-0.38774635818337616,-0.4283989966628611,-0.3476765167468061,10000
C4,D1,method_a - method_b,-0.389031705227078,-0.4360189573459715,-0.3415048504725923,10000
