method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
A1,200,200,0,360.0,2334.0,0.15424164524421594,0.1332738665543908,0.176068448592844,10000,2334
A2,200,200,0,226.0,2334.0,0.09682947729220223,0.07804444147798133,0.1168667183255303,10000,2334
B1,200,200,0,405.0,2334.0,0.17352185089974292,0.15081405312767782,0.19743211972967006,10000,2334
B1_prime,200,200,0,583.0,2334.0,0.24978577549271636,0.22807756432117013,0.27140594843007104,10000,2334
B1_prime_link,200,200,0,274.0,2334.0,0.11739502999143102,0.10580634151711989,0.12963022393381826,10000,2334
C1,200,200,0,588.0,2334.0,0.2519280205655527,0.22984829687877747,0.27460094192520285,10000,2334
C2,200,200,0,898.0,2334.0,0.3847472150814053,0.3628278254632075,0.4065236485227823,10000,2334
C3,200,200,0,632.0,2334.0,0.2707797772065124,0.2459216859173122,0.29530879297360235,10000,2334
C4,200,200,0,629.0,2334.0,0.2694944301628106,0.24112860881458573,0.2988358300232681,10000,2334
D1,200,200,0,1537.0,2334.0,0.6585261353898886,0.621056336997449,0.6953167818921335,10000,2334
