method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
A1,A2,method_a - method_b,0.06027164685908318,0.032594988334892515,0.08913461974163854,10000
A1,B1,method_a - method_b,0.01046972269383134,-0.016781089568933358,0.037698412698412676,10000
A1,B1_prime,method_a - method_b,-0.03480475382003395,-0.060123042505592805,-0.009587863561531048,10000
A1,B1_prime_link,method_a - method_b,0.10780984719864176,0.08119658119658121,0.1335034013605442,10000
A1,C1,method_a - method_b,-0.11177136389360498,-0.14098322265586244,-0.08291870514316936,10000
A1,C2,method_a - method_b,0.016694963214487823,-0.01101741676498517,0.043503138196332496,10000
A1,C3,method_a - method_b,-0.10780984719864178,-0.1397486932917497,-0.07652944739539651,10000
A1,C4,method_a - method_b,-0.10582908885116016,-0.13916954408025836,-0.07288046715861488,10000
A1,D_SFT,method_a - method_b,-0.46915676287492925,-0.5158342764681956,-0.4212885154061625,10000
A2,B1,method_a - method_b,-0.04980192416525184,-0.07854770016228352,-0.02100900572583298,10000
A2,B1_prime,method_a - method_b,-0.09507640067911713,-0.12676853423882284,-0.06339416489487365,10000
A2,B1_prime_link,method_a - method_b,0.04753820033955858,0.015306051469001615,0.07909675854591111,10000
A2,C1,method_a - method_b,-0.17204301075268816,-0.2020206307557751,-0.14165118452217948,10000
A2,C2,method_a - method_b,-0.043576683644595354,-0.07175150933705458,-0.014997170345217886,10000
A2,C3,method_a - method_b,-0.16808149405772496,-0.2020216924727886,-0.13383719268153235,10000
A2,C4,method_a - method_b,-0.16610073571024334,-0.20515050852666128,-0.12753297492389473,10000
A2,D_SFT,method_a - method_b,-0.5294284097340124,-0.5736648926939317,-0.48397976391231023,10000
B1,B1_prime,method_a - method_b,-0.04527447651386529,-0.06729144591385322,-0.023889825744800475,10000
B1,B1_prime_link,method_a - method_b,0.09734012450481042,0.07952590355042675,0.11435767059566093,10000
B1,C1,method_a - method_b,-0.12224108658743632,-0.1459053211117636,-0.0994939902605224,10000
B1,C2,method_a - method_b,0.006225240520656483,-0.014815449010654506,0.027494331065759603,10000
B1,C3,method_a - method_b,-0.11827956989247312,-0.1434714019697571,-0.09309499812328738,10000
B1,C4,method_a - method_b,-0.1162988115449915,-0.14233178984210906,-0.09116742381222791,10000
B1,D_SFT,method_a - method_b,-0.4796264855687606,-0.5236063708759955,-0.4331051827510665,10000
B1_prime,B1_prime_link,method_a - method_b,0.1426146010186757,0.12457627118644071,0.1604834176503654,10000
B1_prime,C1,method_a - method_b,-0.07696661007357103,-0.0993753549119818,-0.054068551462808506,10000
B1_prime,C2,method_a - method_b,0.051499717034521775,0.029229904440697008,0.07372881355932204,10000
B1_prime,C3,method_a - method_b,-0.07300509337860783,-0.10095903137506282,-0.045120682790882875,10000
B1_prime,C4,method_a - method_b,-0.0710243350311262,-0.10028490028490028,-0.043367346938775524,10000
B1_prime,D_SFT,method_a - method_b,-0.4343520090548953,-0.47845965705869975,-0.3879484059393284,10000
B1_prime_link,C1,method_a - method_b,-0.21958121109224674,-0.24185275183702853,-0.19709897610921503,10000
B1_prime_link,C2,method_a - method_b,-0.09111488398415393,-0.11035277006785378,-0.07126823793490461,10000
B1_prime_link,C3,method_a - method_b,-0.21561969439728354,-0.2410262863534676,-0.19006762541651243,10000
B1_prime_link,C4,method_a - method_b,-0.21363893604980191,-0.23837948258773706,-0.19015650459771424,10000
B1_prime_link,D_SFT,method_a - method_b,-0.576966610073571,-0.6198638873357561,-0.5317722462546131,10000
C1,C2,method_a - method_b,0.1284663271080928,0.10958780647171001,0.14735945485519591,10000
C1,C3,method_a - method_b,0.003961516694963196,-0.020333940632776364,0.0289608177172061,10000
C1,C4,method_a - method_b,0.005942275042444822,-0.026598754951895842,0.03800836448758405,10000
C1,D_SFT,method_a - method_b,-0.35738539898132426,-0.39810057935268645,-0.31428571428571433,10000
C2,C3,method_a - method_b,-0.12450481041312961,-0.14846480804911014,-0.10051096534140616,10000
C2,C4,method_a - method_b,-0.12252405206564798,-0.15259068353766922,-0.09268628213997461,10000
C2,D_SFT,method_a - method_b,-0.48585172608941707,-0.5233250660419196,-0.4463069206899041,10000
C3,C4,method_a - method_b,0.001980758347481626,-0.030252730973543914,0.03389842580520548,10000
C3,D_SFT,method_a - method_b,-0.36134691567628746,-0.4026610605029029,-0.3184414037104114,10000
C4,D_SFT,method_a - method_b,-0.3633276740237691,-0.41243132335637944,-0.3131741060989984,10000
