method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
A1,180,180,0,1015.0,3534.0,0.28720996038483304,0.26299356559949777,0.31186440677966104,10000,180
A2,180,180,0,802.0,3534.0,0.22693831352574986,0.2,0.25478726113058453,10000,180
B1,180,180,0,978.0,3534.0,0.2767402376910017,0.2549172379556066,0.29983104241606057,10000,180
B1_prime,180,180,0,1138.0,3534.0,0.322014714204867,0.3012901504581083,0.34271532596493604,10000,180
B1_prime_link,180,180,0,634.0,3534.0,0.17940011318619128,0.15959222894024616,0.2003968253968254,10000,180
C1,180,180,0,1410.0,3534.0,0.398981324278438,0.38168373151308305,0.4165251958973357,10000,180
C2,180,180,0,956.0,3534.0,0.2705149971703452,0.2547699214365881,0.2858361774744027,10000,180
C3,180,180,0,1396.0,3534.0,0.3950198075834748,0.3729485002829655,0.4165247258950508,10000,180
C4,180,180,0,1389.0,3534.0,0.3930390492359932,0.36219581211092244,0.4252105396953302,10000,180
D_SFT,180,180,0,2673.0,3534.0,0.7563667232597623,0.7154870190196277,0.794218123893393,10000,180
