method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
A1,200,200,0,1184.0,4052.0,0.29220138203356366,0.2682925301823159,0.3167792544761405,10000,200
A2,200,200,0,916.0,4052.0,0.22606120434353405,0.20004555037684982,0.25266869976279877,10000,200
B1,200,200,0,1110.0,4052.0,0.27393879565646595,0.2535519200072189,0.29503354182367364,10000,200
B1_prime,200,200,0,1308.0,4052.0,0.3228035538005923,0.30306021717670284,0.3426436977837507,10000,200
B1_prime_link,200,200,0,718.0,4052.0,0.1771964461994077,0.1580610587718152,0.19687247485932627,10000,200
C1,200,200,0,1596.0,4052.0,0.39387956564659427,0.3778720760187541,0.4100706345257948,10000,200
C2,200,200,0,1074.0,4052.0,0.2650542941757157,0.2508549096238398,0.27959923030930584,10000,200
C3,200,200,0,1593.0,4052.0,0.3931391905231984,0.3733267228557263,0.41296813123364123,10000,200
C4,200,200,0,1638.0,4052.0,0.40424481737413626,0.37537456957144144,0.4339531478011109,10000,200
D_SFT,200,200,0,2885.0,4052.0,0.7119940769990128,0.6719580018687895,0.7508782062306412,10000,200
