method_a,method_b,delta_definition,point_delta,ci_lower,ci_upper,bootstrap_samples
A1,A2,method_a - method_b,0.10617760617760619,0.020980616953401043,0.19434754428921205,10000
A1,B1,method_a - method_b,0.07142857142857145,-0.013517472550675614,0.158203125,10000
A1,B1_prime,method_a - method_b,-0.0019305019305019266,-0.09811320754716979,0.09732824427480913,10000
A1,B1_prime_link,method_a - method_b,0.1640926640926641,0.0896946564885496,0.24324324324324323,10000
A1,C1,method_a - method_b,-0.03281853281853281,-0.103515625,0.03816793893129772,10000
A1,C2,method_a - method_b,0.09845559845559848,0.03244274809160305,0.169921875,10000
A1,C3,method_a - method_b,-0.05405405405405406,-0.12214721057236817,0.017578125,10000
A1,C4,method_a - method_b,-0.1544401544401544,-0.24324324324324326,-0.06563706563706562,10000
A1,D_SFT,method_a - method_b,-0.08301158301158301,-0.16221374045801526,-0.005928853754940733,10000
A2,B1,method_a - method_b,-0.034749034749034735,-0.13671875,0.07000781249999989,10000
A2,B1_prime,method_a - method_b,-0.10810810810810811,-0.2014925373134328,-0.008000000000000007,10000
A2,B1_prime_link,method_a - method_b,0.05791505791505791,-0.02099236641221372,0.13636363636363635,10000
A2,C1,method_a - method_b,-0.138996138996139,-0.216796875,-0.05199999999999999,10000
A2,C2,method_a - method_b,-0.007722007722007707,-0.09266409266409265,0.0810276679841897,10000
A2,C3,method_a - method_b,-0.16023166023166024,-0.24045801526717556,-0.0752895752895753,10000
A2,C4,method_a - method_b,-0.2606177606177606,-0.34782608695652173,-0.16988416988416988,10000
A2,D_SFT,method_a - method_b,-0.1891891891891892,-0.2818641453789054,-0.08880308880308879,10000
B1,B1_prime,method_a - method_b,-0.07335907335907338,-0.15637065637065636,0.005861111968873491,10000
B1,B1_prime_link,method_a - method_b,0.09266409266409265,0.03962264150943395,0.14672385717233039,10000
B1,C1,method_a - method_b,-0.10424710424710426,-0.1679389312977099,-0.04296875,10000
B1,C2,method_a - method_b,0.02702702702702703,-0.025390625,0.08490566037735847,10000
B1,C3,method_a - method_b,-0.1254826254826255,-0.1875,-0.06679389312977102,10000
B1,C4,method_a - method_b,-0.22586872586872586,-0.3088803088803089,-0.14122137404580154,10000
B1,D_SFT,method_a - method_b,-0.15444015444015446,-0.24308300395256915,-0.05984555984555984,10000
B1_prime,B1_prime_link,method_a - method_b,0.16602316602316602,0.09845559845559848,0.22972972972972974,10000
B1_prime,C1,method_a - method_b,-0.030888030888030882,-0.09732824427480916,0.030897080115829978,10000
B1_prime,C2,method_a - method_b,0.10038610038610041,0.03474903474903479,0.16216216216216214,10000
B1_prime,C3,method_a - method_b,-0.05212355212355213,-0.10038610038610041,-0.003731343283582099,10000
B1_prime,C4,method_a - method_b,-0.15250965250965248,-0.2510111486588418,-0.06370656370656369,10000
B1_prime,D_SFT,method_a - method_b,-0.08108108108108109,-0.14864864864864863,-0.013829939167490153,10000
B1_prime_link,C1,method_a - method_b,-0.1969111969111969,-0.25296442687747034,-0.14150223246435265,10000
B1_prime_link,C2,method_a - method_b,-0.06563706563706562,-0.111328125,-0.01953125,10000
B1_prime_link,C3,method_a - method_b,-0.21814671814671815,-0.2700067567567567,-0.16969815498155044,10000
B1_prime_link,C4,method_a - method_b,-0.3185328185328185,-0.3976913127413127,-0.24609375,10000
B1_prime_link,D_SFT,method_a - method_b,-0.2471042471042471,-0.326171875,-0.16793893129770993,10000
C1,C2,method_a - method_b,0.1312741312741313,0.080078125,0.1796875,10000
C1,C3,method_a - method_b,-0.02123552123552125,-0.057251908396946605,0.017578125,10000
C1,C4,method_a - method_b,-0.1216216216216216,-0.19691119691119685,-0.047430830039525695,10000
C1,D_SFT,method_a - method_b,-0.050193050193050204,-0.115234375,0.018867924528301883,10000
C2,C3,method_a - method_b,-0.15250965250965254,-0.1946564885496183,-0.11130526352433356,10000
C2,C4,method_a - method_b,-0.2528957528957529,-0.326171875,-0.1776061776061776,10000
C2,D_SFT,method_a - method_b,-0.1814671814671815,-0.24903474903474904,-0.109375,10000
C3,C4,method_a - method_b,-0.10038610038610035,-0.18577648221343873,-0.018867924528301883,10000
C3,D_SFT,method_a - method_b,-0.028957528957528955,-0.091796875,0.037109375,10000
C4,D_SFT,method_a - method_b,0.0714285714285714,-0.021484375,0.17557509799876214,10000
