method,n_units,observed_units,filled_missing_units,score_numerator,score_denominator,point_estimate,ci_lower,ci_upper,bootstrap_samples,raw_rows
A1,20,20,0,169.0,518.0,0.32625482625482627,0.25096525096525096,0.4026717557251908,10000,20
A2,20,20,0,114.0,518.0,0.22007722007722008,0.14285016741071435,0.306640625,10000,20
B1,20,20,0,132.0,518.0,0.2548262548262548,0.197265625,0.318706430937635,10000,20
B1_prime,20,20,0,170.0,518.0,0.3281853281853282,0.2675768637569188,0.3861003861003861,10000,20
B1_prime_link,20,20,0,84.0,518.0,0.16216216216216217,0.108,0.21680148142688674,10000,20
C1,20,20,0,186.0,518.0,0.3590733590733591,0.3148854961832061,0.4034749034749035,10000,20
C2,20,20,0,118.0,518.0,0.2277992277992278,0.19,0.267578125,10000,20
C3,20,20,0,197.0,518.0,0.3803088803088803,0.33783783783783783,0.4255725190839695,10000,20
C4,20,20,0,249.0,518.0,0.4806949806949807,0.416015625,0.5477099236641222,10000,20
D_SFT,20,20,0,212.0,518.0,0.4092664092664093,0.3416030534351145,0.466403162055336,10000,20
